nlp_text,property_apartment,property_house,property_villa,property_land,property_commercial,transaction_sale,transaction_rent,transaction_negotiable,transaction_urgent,condition_new_or_renovated,condition_needs_renovation,comfort_furnished,comfort_air_conditioning,comfort_heating,comfort_parking_or_garage,comfort_elevator,comfort_balcony_or_terrace,comfort_garden,comfort_pool,comfort_security,comfort_double_glazing,location_sea_view,location_near_beach,location_near_school,location_near_transport,location_city_center,standing_luxury,standing_high_quality_finishing,signal_low_quality_or_vague
"Transaction type: 0.0 | Governorate: 1.0 | Zone: ""Studio à hammamet centre ville à vendre 51355351 | Appartement | à vendre | 40.00 m | Climatisation | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Description: ""Réf: AV1962 Nabeul / Hammamet nord Appartement / à vendre il y a 18 jours Appartement Jad AV1962 A vendre un luxueux appartement | Transaction type: vente | Governorate: un parking au sous-sol et une piscine commune. Elle est gardée et bien surveillée (gardien & cameras de surveillances). L'appartement offre un coquet salon – salle à manger ouvert sur un balcon",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"Description: ""Réf: AV1965 Nabeul / Hammamet Appartement / à vendre il y a 20 jours Appartement Baya 2 AV1965 A vendre un coquet appartement situé au rez de chaussée d'une petite résidence de type R+3 se trouvant à Hammamet à 400m de la plage et d'Hotel Sindbed. Il offre un salon – salle à manger | Transaction type: vente | Governorate: vous pouvez nous contacter sur le 00216 29 105 844 / 55 844 605 ou par email à info@mouin-immobilier.com Agence Mouin Immobilier International Vous trouverez toutes nos offres en visitant notre site web www.mouin-immobilier.com",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Description: ""Réf: AH087 Nabeul / Hammamet centre Appartement / à vendre il y a 20 jours 🏢#MS_IMMOBILIER🏢vous offre pour la #vente cet #appartement🏡de style S+1 tout neuf de #hautstanding mis au 2ème étage d'une petite #résidence à #Hammamet🌊en plein centre ville🏝🏖 📐Superficie: 50 m² 💰Prix: 150 MD 🎈Réf: AH087 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Transaction type: 2.0 | Zone: ""Appartement s+1 à hammamet à vendre à 150 md 51355351 | Appartement | à vendre | 50.00 m | Hammamet",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AN017 Nabeul / Nabeul Appartement / à vendre il y a 27 jours 🏢#MS_IMMOBILIER🏢vous offre pour la #vente🤑cette belle #opportunité🎲🎲un spacieux #appartement🔝S+3 disposant d'une #vue_sublime sur la #mer🌊dans une #résidence👨🏬gardée en pleine #zone_touristique ️⛱️de #Nabeul 🏖 🔌💦Chauffage central et climatisation 🚘Place parking au sous-sol 📐Superficie: 125 m² 💰 Prix: 450 MD 🦋Réf: AN017 🤙Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Description: 1.0 | Governorate: 1.0 | Zone: ""Bel appartement s+3 vue de mer à vendre à nabeul 51355351 | Appartement | à vendre | 125.00 m | Garage | Chauffage centrale | Parabole / TV | Système Alarme | Climatisation | Terrasses | Jardin | Ascenseur | Vue mer | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Description: ""Réf: AM091 Nabeul / Mrezga Appartement / à vendre il y a 28 jours 📣#A_VENDRE✨ chez 🏢#MS_IMMOBILIER🏢 Un #appartement🏰🔑 #RDC de style S+1 tout #neuf et richement #meublé avec 2 #terrassaes 🛤🛤 dans une #immeuble #sécurisé 👓 à #AFH_Mrezga🏝🏖 ⛱️ Place Parking 📐Superficie: 90 m² 💸Prix: 250 MD #négociable 🌷Réf: AM091 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Transaction type: 0.0 | Governorate: 1.0 | Zone: ""Appartement s+1 neuf et meublé à vendre à afh mrezga 51355351 | Appartement | à vendre | 90.00 m | Garage | Parabole / TV | Système Alarme | Climatisation | Terrasses | Jardin | Meublé | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AV1959 Nabeul / Hammamet Appartement / à vendre il y a 1 mois Appartement Marlene AV1959 A vendre un spacieux et lumineux appartement situé à Jinen Hammamet ; une résidence calme | Transaction type: vente | Governorate: une cuisine aménagée d'un séchoir et une salle de bain. L'appartement est équipé de climatisation et de chauffage central et il dispose d'une place parking abrité. Titre foncier individuel en regle. Prix : 570 000 DT Pour toutes informations nécessaires et éventuelle visite",1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AV1951 Nabeul / Hammamet Appartement / à vendre il y a 1 mois Appartement L'andalou AV1951 A vendre un bel appartement entièrement meublé | Transaction type: vente | Governorate: sécurisée et bien entretenue. L'appartement offre un salon – salle à manger ouvert sur une superbe terrasse ayant une belle vue sur verdure",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AV1826 Nabeul / Hammamet nord Appartement / à vendre il y a 1 mois Appartement Dubai AV1826 A vendre un bel appartement spacieux et bien lumineux situé au 4éme étage d'une résidence gardée et bien sécurisée à Cité AFh – Mrezka. Ayant une superficie de 186m2 | Transaction type: vente | Governorate: une salle d'eau invités",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Description: ""Ben arous / Ben arous Maison / à vendre il y a 1 mois 🔹MAXULA IMMOBILIERE vous propose à la VENTE un petit IMMEUBLE EN R+1 avec REZ-DE-CHAUSSÉE COMMERCIAL et au premier étage un APPARTEMENT S+3 d'environ 110m² | Transaction type: vente | Governorate: faisant directement face à la MOSQUÉE AL SHIFA. Le bien est édifié sur un terrain de 135m² disposant d'un TITRE FONCIER INDIVIDUEL. 🔹Le bien se compose au REZ-DE-CHAUSSÉE de : ✅ 2 LOCAUX COMMERCIAUX indépendants actuellement loués et générant environ 2000 TND de loyer. 🔹Au PREMIER ÉTAGE un APPARTEMENT S+3 de 110m² qui se compose de : ✅Un vaste SALON. ✅Une spacieuse CUISINE ÉQUIPÉE (plaque",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Description: ""Réf: AM091 Nabeul / Mrezga Appartement / à vendre il y a 1 mois 📣#A_VENDRE✨ chez 🏢#MS_IMMOBILIER🏢 Un #appartement🏰🔑 #RDC de style S+1 tout #neuf et richement #meublé avec 2 #terrasses 🛤🛤 dans une #immeuble #sécurisé 👓 à #AFH_Mrezga🏝🏖 ⛱️ Place Parking 📐Superficie: 90 m² 💸Prix: 250 MD #négociable 🌷Réf: AM091 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Transaction type: 0.0 | Governorate: 1.0 | Zone: ""Bel appartement s+1 à vendre à afh mrezga 51355351 | Appartement | à vendre | 90.00 m | Garage | Parabole / TV | Système Alarme | Climatisation | Terrasses | Jardin | Meublé | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: OF94228 Ben arous / Ezzahra Maison / à vendre il y a 2 mois Un immeuble sur un terrain de 195 m² situé dans un bon quartier à Boumhal. Au RDC | Transaction type: vente | Governorate: 3 chambres",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AV1826 Nabeul / Hammamet Appartement / à vendre il y a 2 mois Appartement Dubai AV1826 A vendre un bel appartement spacieux et bien lumineux situé au 4éme étage d'une résidence gardée et bien sécurisée à Cité AFh – Mrezka. Ayant une superficie de 186m2 | Transaction type: vente | Governorate: une salle d'eau invités",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AV1866 Nabeul / Hammamet Appartement / à vendre il y a 2 mois Appartement Celine 1 AV1866 Un spacieux et lumineux appartement situé au rdc d'une nouvelle petite résidence de type R+2 se trouvant dans un lotissement bien accessible à Hammamet. Il offre un salon – salle à manger ouvert sur une belle cuisine à ilot central donnant sur la piscine | Transaction type: vente | Governorate: aménagée d'un dressing et une salle d'eau. A l'exterieur",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Description: ""Ben arous / Radès Appartement / à vendre il y a 2 mois 🔹MAXULA IMMOBILIERE vous propose à la VENTE un agréable APPARTEMENT S+3 d'une superficie d'environ 85m² | Transaction type: vente | Governorate: Carrefour Market",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Ben arous / Radès Appartement / à vendre il y a 2 mois 🔹MAXULA IMMOBILIERE vous propose à la VENTE un agréable APPARTEMENT S+2 d'une superficie d'environ 75m² | Transaction type: vente | Governorate: la Municipalité de Rades ainsi que la gare de train. 🔹Le bien se compose de : ✅Un SALON donnant sur un spacieux BALCON. ✅2 CHAMBRES À COUCHER équipées de placards intégrés. ✅Une SALLE DE BAIN. ✅Une CUISINE avec son coin buanderie. 🔹L'appartement est raccordé au GAZ DE VILLE. 💵Le PRIX est de 120 000 TND. Pour plus de renseignements",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Ariana / Ennasr 1 Appartement / à vendre il y a 2 mois Un appart au RDC situé dans une résidence de haut standing à Ennasr 1. A L'entrée | Transaction type: vente | Governorate: une cuisine équipée",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Title: ""Ariana / Ennasr 1 Appartement / à vendre il y a 2 mois Un appart au RDC situé dans une résidence de haut standing à Ennasr 1. A L'entrée | Property type: On trouve un salon | Transaction type: 0.0 | Zone: une cuisine équipée",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Description: ""Réf: AHS041 Nabeul / Hammamet Appartement / à vendre il y a 2 mois 🏢#MS_IMMOBILIER🏢met en #vente ce #spacieux #appartement S+2💒mis au 1er étage d'une #résidence🏘🏘 #gardée et #sécurisée avec #piscine🏊à #Yasmine_Hammamet🏝🌊proche du #port de la #Marina ⛱️ 🔵Document: Titre bleu 📐Superficie : 114 m² 🥳 Prix: 365 MD ❣️Réf : AHS041 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Transaction type: 1.0 | Governorate: 1.0 | Zone: ""Bel appartement s+2 à vendre à yasmine hammamet 51355351 | Appartement | à vendre | 114.00 m | Piscine | Garage | Chauffage centrale | Parabole / TV | Système Alarme | Climatisation | Terrasses | Jardin | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: OF87915 Ben arous / El mourouj 3 Appartement / à vendre il y a 2 mois Un immeuble sur un terrain de 100m² situé dans un bon quartier à EL Mourouj 3. Au RDC | Transaction type: vente | Governorate: 3 chambres et une salle de bain. A L'étage",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: OF91511 Ben arous / El mourouj 2 Appartement / à vendre il y a 2 mois Un appart de charme au 1er étage situé dans une résidence à EL Mourouj 2. A L'entrée | Transaction type: vente | Governorate: 3 chambres et une salle de bain. Cet appart dispose d'une place de parking. Pour tous les renseignements",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: OF91564 Ben arous / El mourouj 5 Appartement / à vendre il y a 2 mois Un coquet appart au 4éme étage situé dans une résidence à EL Mourouj 5. A L'entrée | Transaction type: vente | Governorate: 2 chambres et une salle de bain. Cet appart dispose d'une place de parking. Pour tous les renseignements",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: OF93913 Ariana / El menzah 8 Appartement / à vendre il y a 2 mois Un appartement S+1 d'une superficie de m² | Transaction type: vente | Governorate: une cuisine",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Sousse / Sahloul Appartement / à vendre il y a 3 mois Sahloul 4 – Sousse Résidence Selim – Appartements S+2 et S+3 à vendre La Résidence Selim vous propose des appartements haut standing | Transaction type: vente | Governorate: avec terrasses dont certaines offrent une vue directe sur la mer. À partir de 320000 DT Caractéristiques des appartements : Revêtements de sol : marbre blanc au salon et grès dans la masse 1er choix pour la cuisine et la salle de bain. Placards et dressings agencés. Cuisine installée et équipée : plaque de cuisson",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Title: ""Sousse / Sahloul Appartement / à vendre il y a 3 mois Sahloul 4 – Sousse Résidence Selim – Appartements S+2 et S+3 à vendre La Résidence Selim vous propose des appartements haut standing | Description: 1.0 | Property type: lumineux | Transaction type: 1.0 | Zone: avec terrasses dont certaines offrent une vue directe sur la mer. À partir de 320000 DT Caractéristiques des appartements : Revêtements de sol : marbre blanc au salon et grès dans la masse 1er choix pour la cuisine et la salle de bain. Placards et dressings agencés. Cuisine installée et équipée : plaque de cuisson",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Description: ""Réf: OF89041 Tunis / Bab bhar Appartement / à vendre il y a 3 mois Un appartement S3 au 1er étage situé dans une résidence à Centre Ville | Transaction type: vente | Governorate: une cuisine équipée",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Description: ""Réf: OF87399 Tunis / Bab bhar Appartement / à vendre il y a 3 mois Un appart au 4 éme étage situé dans une résidence avec ascenseur à Lafayette | Transaction type: vente | Governorate: une cuisine équipée avec séchoir",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Description: ""Réf: OF85873 Tunis / Bab bhar Appartement / à vendre il y a 3 mois Un appart au 1 er étage situé dans une résidence d'EL Passage | Transaction type: vente | Governorate: une cuisine",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: OF83409 Tunis / Bab bhar Appartement / à vendre il y a 3 mois Un appart au 2 éme étage situé dans un immeuble à Centre ville | Transaction type: vente | Governorate: une cuisine",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Description: ""Réf: OF93884 Nabeul / Kélibia Appartement / à vendre il y a 3 mois Un appart S3 d'une superficie de 139m² | Transaction type: vente | Governorate: 3 chambres",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AV346 Nabeul / Hammamet Appartement / à vendre il y a 3 mois Appartement Miami AV346 A vendre un appartement d'haut standing située dans une résidence gardée et sécurisée à Yasmine Hammamet à 500m de la plage. Il se trouve au 1er étage et offre une véranda à l'entrée | Transaction type: vente | Governorate: une cuisine bien aménagée et une salle de bain. L'appartement est équipé de chauffage central",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"Description: ""Réf: AHS042 Nabeul / Hammamet Appartement / à vendre il y a 3 mois 🏢#MS_IMMOBILIER🏢met en #vente💸💸 un #spacieux #appartement S+3💒 situé dans une #résidence🏘🏘 #gardée et #sécurisée avec #piscine🏊 à #Yasmine_Hammamet🏝🌊 proche du #port de la #Marina ⛱️ 👌L'appartement est équipé de climatisation et chauffage central 🚘🔵#place_parking 📐Superficie : 120 m² 💰Prix sans meuble: 350 MD 💰Prix avec meuble: 365 MD ❣️Réf : AHS042 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"Governorate: 1.0 | Zone: ""Appartement s+3 à yasmine hammamet à vendre 51355351 | Appartement | à vendre | 120.00 m | Piscine | Garage | Chauffage centrale | Parabole / TV | Système Alarme | Climatisation | Terrasses | Jardin | Vue mer | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"Description: ""Réf: AH083 Nabeul / Hammamet centre Appartement / à vendre il y a 3 mois 🏢#MS_IMMOBILIER🏢met en #vente🎉🎉un appartement #RDC 🔑🔑de type S+3 avec une #entrée_privative et un #jardin🧩 de 85 m²📐dans une #résidence_conviviale à #Hammamet_centre-ville ⛱️ à 50 m de la #plage🌊🌊 🔌 Chauffage central et climatiseurs 📐Superficie habitable: 120 m² 📐 Superficie totale: 220 m² 💰#Prix: 630 MD 🎲Réf : AH083 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"Transaction type: 0.0 | Governorate: 1.0 | Zone: ""Appartement s+3 à 50 m de la plage à hammamet à vendre 51355351 | Appartement | à vendre | 220.00 m | Garage | Chauffage centrale | Parabole / TV | Climatisation | Terrasses | Jardin | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Description: ""Réf: AH084 Nabeul / Hammamet centre Appartement / à vendre il y a 3 mois 🏢#MS_IMMOBILIER🏢 met en #vente🎉un appartement #RDC 🔑🔑 S+2 avec #entrée_indépendante et #débarras⛱️ à #Hammamet_centre_ville 🏝🏖 🌊🔌 Eau | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transaction type: 0.0 | Governorate: 1.0 | Zone: électricité,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AV1944 Nabeul / Hammamet nord Appartement / à vendre il y a 3 mois Appartement Goya AV1944 A vendre un coquet appartement au rez de chaussée d'une résidence gardée et sécurisée à Hammamet Nord proche des hôtels Sultan et La Badira. Moderne et bien aménagé | Transaction type: vente | Governorate: vous pouvez nous contacter sur le 00216 29 105 844 / 55 844 605 ou par email à info@mouin-immobilier.com Agence Mouin Immobilier International Vous trouverez toutes nos offres en visitant notre site web www.mouin-immobilier.com",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AH080 Nabeul / Hammamet nord Appartement / à vendre il y a 3 mois 💰À #Prix #CHOC à💰220 MD💰#seulement💰 🏢#MS_IMMOBILIER🏢vous offre pour la #vente un #coquet #appartement #tout_neuf🏡de style S+2 de mis au 2ème étage d'une #résidence conviviale avec #terrasse dans un quartier #résidentiel à #Hammamet_Nord🌊🚶 🔌 Chauffage central préinstallé et dressing sont disponibles 📐Superficie: 90 m² 🎈Réf: AH080 👉Pour plus d'informations contactez-nous sur ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Transaction type: 2.0 | Governorate: 1.0 | Zone: ""Appartement s+2 tout neuf à hammamet nord à vendre 51355351 | Appartement | à vendre | 90.00 m | Chauffage centrale | Parabole / TV | Climatisation | Terrasses | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Réf: AH081 Nabeul / Hammamet nord Appartement / à vendre il y a 3 mois #للبيع في #الحمامات_الشمالية⛱️🌊#شقة🏘 #مؤثثة🙋🙋 #مجهزة ب#المكيفات 💦🔌 موجودة في الطابق الثاني في اقامة متكونة من 3 طوابق و #قريبة لجميع المرافق 🚶🚶‍♂️ 💰#السعر 195 مليون أكهو💰 📜أوراقها مريقلة فيها زوز بيوت و صالة #مساحتها 100 م²📐 😍Réf : AH081 لأكثر معلومات كلمنا على ☎51355351 | Transaction type: vente",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Governorate: 1.0 | Zone: ""Coquet appartement meublé à hammamet nord à vendre 51355351 | Appartement | à vendre | 100.00 m | Chauffage centrale | Climatisation | Terrasses | Meublé | Internet/Wi-fi | Hammamet",1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Description: ""Tunis / Sidi el béchir Appartement / à vendre il y a 4 mois À VENDRE BUREAU AU CENTRE-VILLE DE TUNIS Emplacement: Angle rue Ali Darghouth & Fares El Khouri | Transaction type: vente | Governorate: bureau d'étude",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
